"name"	"namealt"	"name_ar"	"name_bn"	"name_de"	"name_en"	"name_es"	"name_fr"	"name_el"	"name_hi"	"name_hu"	"name_id"	"name_it"	"name_ja"	"name_ko"	"name_nl"	"name_pl"	"name_pt"	"name_ru"	"name_sv"	"name_tr"	"name_vi"	"name_zh"	"name_fa"	"name_he"	"name_uk"	"name_ur"	"name_zht"	"min_lat"	"min_lon"	"max_lat"	"max_lon"
"Pentecost"	NA	"جزيرة بينتيكوست"	"পেন্তেকস্ট"	"Pentecost-Insel"	"Pentecost Island"	"Isla de Pentecostés"	"île de Pentecôte"	"Πέντεκοστ"	"पेंटेकोस्ट"	"Pentecost"	"Pentecost"	"Isola di Pentecoste"	"ペンテコスト島"	"펜테코스트"	"Pentecost"	"Pentecost"	"Pentecostes"	"Пентекост"	"Pentecost Island"	"Pentecost"	"Đảo Pentecost"	"彭特科斯特岛"	"پنتکوست"	"האי פנטקוסט"	"Пентекост"	"پینٹےکوسٹ"	"彭特科斯特岛"	-15.9716796875	168.1228515625	-15.46181640625	168.2677734375
"Anatom"	NA	"أناتوم"	"আনাতোম"	"Aneityum"	"Aneityum"	"Anatom"	"Aneityum"	"Άνατομ"	"एनाटोम"	"Anatom"	"Anatom"	"Anatom"	"アネイチュム島"	"아네이튬섬"	"Anatom"	"Anatom"	"Aneytium"	"Анейтьюм"	"Anatom"	"Anatom"	"Đảo Anatom"	"阿内蒂乌姆岛"	"آناتوم"	"האי אנטום"	"Анатом"	"آناٹام"	"阿内蒂乌姆岛"	-20.241796875	169.7375	-20.1447265625	169.896274938024
"Gaua"	NA	"غاوا"	"গাউয়া"	"Gaua"	"Gaua"	"Gaua"	"Gaua"	"Γκάουα"	"गौआ"	"Gaua"	"Gaua"	"Gaua"	"ガウア島"	"가우아섬"	"Gaua"	"Gaua"	"Gaua"	"Гауа"	"Gaua"	"Gaua"	"Gaua"	"加瓦島"	"گاوا"	"האי גאווה"	"Гауа"	"گایا"	"加瓦島"	-14.3116210937499	167.403515625	-14.1421875	167.59892578125
"Vanikolo"	NA	"فانيكولو"	"ভ্যানিকোলো"	"Vanikoro"	"Vanikoro"	"Vanikoro"	"Vanikoro"	"Βανικόρο"	"वानीकोलो"	"Vanikoro"	"Vanikolo"	"Vanikoro"	"ヴァニコロ"	"바니콜로"	"Vanikoro"	"Vanikoro"	"Vanikoro"	"Ваникоро"	"Vanikoro"	"Vanikolo"	"Đảo Vanikolo"	"瓦尼科羅島"	"وانیکولو"	"ואניקורו"	"Ванікоро"	"وانیکولو"	"瓦尼科羅島"	-11.68134765625	166.74768162466	-11.5712890624999	166.929046434448
"Adak"	NA	"جزيرة أداك"	"আদাক"	"Adak Island"	"Adak Island"	"Isla Adak"	"île Adak"	"Άντακ"	"अदक"	"Adak"	"Adak"	"isola di Adak"	"アダック島"	"에이댁섬"	"Adak Island"	"Adak"	"Ilha Adak"	"Адак"	"Adak Island"	"Adak Adası"	"Đảo Adak"	"埃達克島"	"آداک"	"האי אדאק"	"Адак"	"جزیرہ اداک"	"埃達克島"	51.6036621093751	-176.96162109375	51.9719465671659	-176.437353515625
"Unimak I."	NA	"جزيرة أونيماك"	"ইউনিমাক আইল্যান্ড"	"Unimak Island"	"Unimak Island"	"Isla Unimak"	"île Unimak"	"Ούνιμακ"	"यूनिमक द्वीप"	"Unimak-sziget"	"Pulau Unimak"	"Unimak"	"ウニマク島"	"유니맥 아일랜드"	"Unimak Island"	"Unimak"	"Ilha Unimak"	"Унимак"	"Unimak Island"	"Unimak Adası"	"Đảo Unimak"	"烏尼馬克島"	"جزیره اونیماک"	"האי יונימק"	"Унімак"	"جزیرہ یونیمیک"	"烏尼馬克島"	54.4071276496636	-164.903955078125	55.050830078125	-163.083251953125
"Lanzarote"	NA	"لانزاروت"	"ল্যাঞ্জারোতে"	"Lanzarote"	"Lanzarote"	"Lanzarote"	"Lanzarote"	"Λανθαρότε"	"लंज़रोते"	"Lanzarote"	"Lanzarote"	"Lanzarote"	"ランサローテ島"	"란사로테섬"	"Lanzarote"	"Lanzarote"	"Lanzarote"	"Лансароте"	"Lanzarote"	"Lanzarote"	"Lanzarote"	"兰萨罗特岛"	"لانزاروته"	"לנסרוטה"	"Лансароте"	"لانزاروٹے"	"兰萨罗特岛"	28.845458984375	-13.8599121093749	29.23720703125	-13.4236841030117
"Pemba I."	NA	"جزيرة بمبا"	"পেম্বা আইল্যান্ড"	"Pemba"	"Pemba Island"	"Isla de Pemba"	"Pemba"	"Νήσος Πέμπα"	"पेम्बा द्वीप"	"Pemba-sziget"	"Pulau Pemba"	"isola di Pemba"	"ペンバ島"	"펨바섬"	"Pemba"	"Pemba"	"Pemba"	"Пемба"	"Pemba"	"Pemba Adası"	"Pemba"	"奔巴岛"	"جزیره پمبا"	"פמבה"	"Пемба"	"جزیرہ پمبا"	"奔巴岛"	-5.44384765625	39.6479172373157	-4.90883936877443	39.8686421119146
"Mahé I."	NA	"ماهيه"	"মাহে আইল্যান্ড"	"Mahé"	"Mahé"	"Mahé"	"Mahé"	"Μαέ"	"माहे"	"Mahé"	"Mahé"	"Mahé"	"マヘ島"	"마에섬"	"Mahé"	"Mahé"	"Ilha de Mahé"	"Маэ"	"Mahé"	"Mahé Adası"	"Mahé"	"马埃岛"	"ماهی، سیشل"	"מאהה"	"Мае"	"ماہے، سیچیلیس"	"马埃岛"	-4.78538808758227	55.3882525516201	-4.55878906249995	55.5429642227981
"Mohéli"	NA	"موهيلي"	"মোহেলি"	"Mohéli"	"Mohéli"	"Mohéli"	"Mohéli"	"Μόχελι"	"मोहेली"	"Mohéli"	"Moheli"	"Mohéli"	"モヘリ島"	"모헬리"	"Mohéli"	"Mohéli"	"Mohéli"	"остров Мвали"	"Mohéli"	"Mohéli"	"Đảo Mohéli"	"莫爱利岛"	"موهیلی"	"מוג'קובאק"	"Мохелі"	"موہیلی"	"莫埃利島"	-12.3682341323599	43.6313476562501	-12.2470703124999	43.8588221314126
"Mayotte"	NA	"مايوت"	"মায়োত"	"Mayotte"	"Mayotte"	"Mayotte"	"Mayotte"	"Μαγιότ"	"मेयोट"	"Mayotte"	"Mayotte"	"Mayotte"	"マヨット"	"마요트"	"Mayotte"	"Majotta"	"Mayotte"	"Майотта"	"Mayotte"	"Mayotte"	"Mayotte"	"马约特"	"مایوت"	"מיוט"	"Майотта"	"مایوٹ"	"马约特"	-12.9846630574841	45.042578125	-12.65302734375	45.22314453125
"Anjouan"	NA	"أنجوان"	"আঞ্জুয়ান"	"Anjouan"	"Anjouan"	"Anjouan"	"Anjouan"	"Ανζουάν"	"अंजुअन"	"Anjouan"	"Anjouan"	"Anjouan"	"アンジュアン島"	"앙주앙섬"	"Anjouan"	"Anjouan"	"Anjouan"	"Анжуан"	"Anjouan"	"Anjouan"	"Anjouan"	"昂儒昂岛"	"آنژوان"	"אנג'ואן"	"Анжуан"	"انجوان"	"昂儒昂岛"	-12.35654296875	44.2201171875001	-12.07138671875	44.5267546054533
